,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_speed
1,todos santos,75.0,MX,1549158480.0,77.0,23.45,-110.23,69.8,11.77
2,bredasdorp,88.0,ZA,1549159200.0,77.0,-34.53,20.04,68.0,2.24
3,grindavik,75.0,IS,1549161000.0,68.0,63.84,-22.43,28.4,16.11
4,lata,0.0,IN,1549162988.0,63.0,30.78,78.62,33.21,2.59
5,bad driburg,90.0,DE,1549162200.0,97.0,51.74,9.02,32.0,3.36
6,mataura,20.0,NZ,1549162989.0,50.0,-46.19,168.86,73.35,5.5
7,provideniya,92.0,RU,1549163023.0,95.0,64.42,-173.23,32.49,27.2
8,punta arenas,75.0,CL,1549159200.0,82.0,-53.16,-70.91,55.4,9.17
9,kununurra,0.0,AU,1549161000.0,55.0,-15.77,128.74,91.4,10.29
10,murgab,90.0,TM,1549159200.0,100.0,37.5,61.97,42.8,5.73
11,hermanus,76.0,ZA,1549162991.0,96.0,-34.42,19.24,61.88,4.38
12,kavieng,88.0,PG,1549162991.0,100.0,-2.57,150.8,82.31,6.17
13,vao,92.0,EE,1549162991.0,96.0,59.1,26.19,32.63,12.66
14,raudeberg,90.0,NO,1549160400.0,55.0,61.99,5.14,33.8,12.75
15,new norfolk,20.0,AU,1549161000.0,32.0,-42.78,147.06,80.6,14.99
16,ahipara,64.0,NZ,1549162992.0,64.0,-35.17,173.16,77.54,13.56
17,samarai,20.0,PG,1549162993.0,96.0,-10.62,150.67,86.67,9.42
18,nishihara,20.0,JP,1549161000.0,53.0,35.74,139.53,51.8,3.36
19,hobart,20.0,AU,1549161000.0,32.0,-42.88,147.33,80.6,14.99
20,touros,40.0,BR,1549159200.0,88.0,-5.2,-35.46,78.8,4.7
21,cherskiy,8.0,RU,1549162999.0,58.0,68.75,161.3,-12.24,12.44
22,dikson,68.0,RU,1549163000.0,89.0,73.51,80.55,-5.76,13.67
23,cidreira,100.0,BR,1549163000.0,99.0,-30.17,-50.22,71.06,9.86
24,la asuncion,56.0,EC,1549163000.0,100.0,-1.64,-78.74,44.51,1.36
25,tasiilaq,88.0,GL,1549158600.0,63.0,65.61,-37.64,26.6,32.21
26,rikitea,32.0,PF,1549163001.0,100.0,-23.12,-134.97,80.78,8.19
27,parakai,0.0,NZ,1549161000.0,60.0,-36.66,174.44,75.2,12.75
28,ossora,80.0,RU,1549163002.0,91.0,59.24,163.07,15.93,17.92
29,tura,0.0,IN,1549163002.0,90.0,25.52,90.21,64.13,3.04
30,vaini,8.0,IN,1549159200.0,72.0,15.34,74.49,59.0,5.95
31,nikolskoye,75.0,RU,1549161000.0,92.0,59.7,30.79,26.6,11.18
32,upernavik,0.0,GL,1549163004.0,98.0,72.79,-56.15,5.94,6.17
33,ponta do sol,20.0,BR,1549163004.0,73.0,-20.63,-46.0,69.98,3.6
34,sinnamary,80.0,GF,1549163004.0,97.0,5.38,-52.96,79.16,12.77
35,road town,1.0,VG,1549158780.0,73.0,18.42,-64.62,75.92,11.41
36,astoria,90.0,US,1549158900.0,76.0,46.19,-123.83,44.96,10.29
37,jamestown,0.0,AU,1549163006.0,42.0,-33.21,138.6,94.14,7.52
38,yanaul,92.0,RU,1549163006.0,87.0,56.27,54.93,13.68,3.27
39,nanga eboko,44.0,CM,1549163006.0,79.0,4.68,12.37,73.8,8.41
40,lorengau,76.0,PG,1549163007.0,100.0,-2.02,147.27,81.72,8.75
41,necochea,0.0,AR,1549162827.0,98.0,-38.55,-58.74,51.66,4.5
42,mar del plata,0.0,AR,1549163007.0,69.0,-46.43,-67.52,62.46,9.86
43,port elizabeth,1.0,US,1549162440.0,77.0,39.31,-74.98,28.94,3.36
44,airai,24.0,TL,1549163008.0,81.0,-8.93,125.41,80.91,1.92
45,butaritari,0.0,KI,1549163008.0,99.0,3.07,172.79,84.96,16.8
46,noumea,75.0,NC,1549161000.0,58.0,-22.28,166.46,87.8,18.34
47,cape town,75.0,ZA,1549159200.0,88.0,-33.93,18.42,64.4,9.17
48,ruski krstur,0.0,RS,1549161000.0,66.0,45.56,19.42,51.8,20.8
49,nantucket,75.0,US,1549161300.0,100.0,41.28,-70.1,35.96,19.46
50,victoria,75.0,BN,1549161000.0,74.0,5.28,115.24,87.8,3.36
51,ushuaia,40.0,AR,1549159200.0,76.0,-54.81,-68.31,53.6,27.51
52,tolaga bay,76.0,NZ,1549163011.0,66.0,-38.37,178.3,66.83,11.1
53,geraldton,90.0,CA,1549160880.0,76.0,49.72,-86.95,-4.01,9.17
54,busselton,0.0,AU,1549163011.0,95.0,-33.64,115.35,68.67,15.9
55,port blair,0.0,IN,1549163012.0,99.0,11.67,92.75,82.58,12.1
56,puerto ayora,0.0,EC,1549163012.0,100.0,-0.74,-90.35,78.93,9.98
57,srandakan,36.0,ID,1549163012.0,87.0,-7.94,110.25,83.79,4.38
58,east london,32.0,ZA,1549163013.0,95.0,-33.02,27.91,74.79,20.71
59,vestmannaeyjar,92.0,IS,1549162836.0,100.0,63.44,-20.27,29.66,13.33
60,kaeo,92.0,NZ,1549163013.0,64.0,-35.1,173.78,74.97,18.7
61,khatanga,36.0,RU,1549163013.0,63.0,71.98,102.47,-13.32,3.6
62,port alfred,56.0,ZA,1549163014.0,98.0,-33.59,26.89,68.63,10.54
63,bagdarin,0.0,RU,1549163014.0,33.0,54.44,113.59,-25.65,3.38
64,ola,68.0,RU,1549163015.0,100.0,59.58,151.3,9.27,17.92
65,kabare,12.0,RW,1549163015.0,99.0,-1.65,29.38,56.03,3.15
66,aklavik,5.0,CA,1549159200.0,69.0,68.22,-135.01,-13.01,8.05
67,faanui,92.0,PF,1549163015.0,100.0,-16.48,-151.75,82.31,12.77
68,hilo,40.0,US,1549158780.0,68.0,19.71,-155.08,77.0,8.05
69,atuona,0.0,PF,1549163037.0,100.0,-9.8,-139.03,81.68,18.37
70,rio gallegos,0.0,AR,1549159200.0,52.0,-51.62,-69.22,64.4,21.92
71,yellowknife,20.0,CA,1549159200.0,66.0,62.45,-114.38,-32.81,6.93
72,katsuura,75.0,JP,1549161060.0,76.0,33.93,134.5,48.2,11.41
73,chuguyevka,56.0,RU,1549163038.0,52.0,44.17,133.87,30.74,3.27
74,salima,80.0,MW,1549163038.0,100.0,-13.78,34.45,68.22,2.82
75,albany,90.0,US,1549162320.0,62.0,42.65,-73.75,30.92,3.36
76,port lincoln,0.0,AU,1549163039.0,80.0,-34.72,135.86,73.31,18.81
77,mitsamiouli,20.0,KM,1549163040.0,100.0,-11.38,43.28,80.1,6.96
78,caceres,88.0,CO,1549163040.0,100.0,5.53,-74.53,66.83,2.59
79,lavrentiya,88.0,RU,1549163041.0,97.0,65.58,-170.99,32.63,28.66
80,tuktoyaktuk,5.0,CA,1549159200.0,74.0,69.44,-133.03,-23.81,10.29
81,killybegs,88.0,IE,1549163041.0,100.0,54.63,-8.45,39.83,14.79
82,buala,88.0,SB,1549163042.0,90.0,-8.15,159.59,83.84,7.52
83,barrow,8.0,AR,1549163042.0,92.0,-38.31,-60.23,51.26,2.93
84,kieta,76.0,PG,1549163042.0,93.0,-6.22,155.63,85.01,6.17
85,fort nelson,90.0,CA,1549159200.0,75.0,58.81,-122.69,-16.61,2.24
86,biak,8.0,ID,1549163043.0,86.0,-0.91,122.88,84.33,2.37
87,burgeo,80.0,CA,1549162807.0,100.0,47.61,-57.61,22.68,23.06
88,udachnyy,76.0,RU,1549163043.0,40.0,66.42,112.4,-26.87,4.83
89,wawa,8.0,NG,1549163044.0,81.0,9.9,4.41,69.03,8.19
90,three hills,90.0,CA,1549159200.0,69.0,51.7,-113.27,-7.61,12.75
91,havoysund,8.0,NO,1549160400.0,61.0,71.0,24.66,14.0,41.38
92,saldanha,24.0,PT,1549163045.0,85.0,41.42,-6.55,25.61,3.04
93,krasnotorka,88.0,UA,1549163046.0,97.0,48.68,37.52,33.03,6.4
94,yumen,0.0,CN,1549163046.0,62.0,40.29,97.04,12.06,6.06
95,hami,0.0,CN,1549163046.0,57.0,42.84,93.51,10.31,3.38
96,saint-augustin,0.0,FR,1549161000.0,80.0,44.83,-0.61,35.6,8.05
97,xining,0.0,CN,1549162927.0,20.0,36.62,101.77,25.61,8.97
98,iquitos,0.0,PE,1549159200.0,94.0,-3.75,-73.25,75.2,4.83
99,awbari,0.0,LY,1549163048.0,31.0,26.59,12.77,52.79,8.75
100,vardo,1.0,US,1549162380.0,91.0,39.62,-77.74,32.0,5.82
101,bluff,80.0,AU,1549163048.0,52.0,-23.58,149.07,85.23,17.81
102,deputatskiy,0.0,RU,1549163049.0,0.0,69.3,139.9,-44.82,2.71
103,takoradi,92.0,GH,1549163049.0,100.0,4.89,-1.75,78.12,5.95
104,formosa,0.0,AR,1549159200.0,94.0,-26.19,-58.17,75.2,4.7
105,umm lajj,0.0,SA,1549163050.0,100.0,25.02,37.27,55.89,6.51
106,kapaa,90.0,US,1549158960.0,78.0,22.08,-159.32,78.08,14.99
107,pangody,8.0,RU,1549163050.0,78.0,65.85,74.49,-37.8,9.75
108,antigonish,90.0,CA,1549159200.0,85.0,45.62,-61.99,17.6,4.7
109,ruteng,68.0,ID,1549163051.0,90.0,-8.61,120.46,79.02,4.72
110,thompson,90.0,CA,1549159200.0,75.0,55.74,-97.86,-20.21,8.05
111,hay river,75.0,CA,1549159200.0,73.0,60.82,-115.79,-32.81,4.7
112,margate,20.0,AU,1549161000.0,32.0,-43.03,147.26,80.6,14.99
113,georgetown,40.0,GY,1549159200.0,94.0,6.8,-58.16,73.4,4.83
114,ngunguru,80.0,NZ,1549163053.0,97.0,-35.62,174.5,70.79,24.52
115,maniitsoq,0.0,GL,1549163054.0,73.0,65.42,-52.9,13.73,15.23
116,kasongo-lunda,44.0,CD,1549163054.0,97.0,-6.48,16.82,68.63,1.36
117,souillac,0.0,FR,1549161000.0,80.0,45.6,-0.6,35.6,11.41
118,kisanga,64.0,CD,1549163055.0,93.0,-11.72,27.4,64.31,2.59
119,poum,56.0,MK,1549163055.0,80.0,41.28,20.71,35.55,3.71
120,qaanaaq,0.0,GL,1549163055.0,87.0,77.48,-69.36,-20.52,5.61
121,kaitangata,8.0,NZ,1549162974.0,67.0,-46.28,169.85,67.95,5.61
122,codrington,40.0,AU,1549159200.0,45.0,-28.95,153.24,87.8,12.75
123,bandarbeyla,92.0,SO,1549163056.0,100.0,9.49,50.81,75.96,16.24
124,solnechnyy,0.0,RU,1549163056.0,65.0,50.72,136.64,-0.32,4.38
125,carndonagh,92.0,IE,1549163057.0,98.0,55.25,-7.27,37.62,12.44
126,kisangani,48.0,CD,1549163057.0,90.0,0.52,25.21,73.62,4.38
127,benguela,0.0,AO,1549163057.0,100.0,-12.58,13.4,76.46,3.83
128,mount gambier,0.0,AU,1549159200.0,30.0,-37.83,140.78,86.0,13.87
129,bathsheba,20.0,BB,1549159200.0,73.0,13.22,-59.52,75.2,11.41
130,konstantinovka,80.0,MD,1549163058.0,94.0,47.99,28.86,34.83,9.42
131,tessalit,0.0,ML,1549163059.0,52.0,20.2,1.01,48.29,2.82
132,tiksi,24.0,RU,1549163059.0,77.0,71.64,128.87,-37.89,2.93
133,gwanda,0.0,ZW,1549163059.0,76.0,-20.94,29.0,66.87,9.42
134,port-gentil,92.0,GA,1549163060.0,98.0,-0.72,8.78,81.63,6.06
135,sao joao da barra,0.0,BR,1549163060.0,98.0,-21.64,-41.05,81.27,28.54
136,ilebo,8.0,CD,1549163060.0,95.0,-4.33,20.59,73.71,2.15
137,severo-kurilsk,76.0,RU,1549163061.0,100.0,50.68,156.12,31.28,27.31
138,avarua,75.0,CK,1549159200.0,83.0,-21.21,-159.78,80.6,5.82
139,castro,0.0,CL,1549159200.0,43.0,-42.48,-73.76,73.4,11.41
140,tsiroanomandidy,64.0,MG,1549163062.0,93.0,-18.77,46.05,61.2,3.6
141,salamanca,0.0,ES,1549161000.0,92.0,40.97,-5.66,28.4,3.36
142,kommunisticheskiy,64.0,RU,1549163063.0,61.0,61.68,64.48,-20.61,5.06
143,nizhniy tsasuchey,0.0,RU,1549163063.0,36.0,50.52,115.13,-12.15,9.08
144,zhigansk,36.0,RU,1549163064.0,71.0,66.77,123.37,-36.5,5.95
145,makushino,88.0,RU,1549163064.0,86.0,55.21,67.25,-5.67,10.31
146,princeton,90.0,US,1549162500.0,92.0,41.37,-89.46,40.28,5.82
147,saint-philippe,75.0,CA,1549161300.0,95.0,45.36,-73.48,17.6,8.97
148,tuatapere,32.0,NZ,1549163065.0,69.0,-46.13,167.69,65.93,8.41
149,haines junction,0.0,CA,1549163065.0,47.0,60.75,-137.51,-31.1,1.7
150,newport,0.0,GB,1549160400.0,86.0,51.59,-3.0,32.0,6.93
151,okoneshnikovo,44.0,RU,1549163066.0,90.0,54.84,75.08,-20.34,7.4
152,aleksandrov gay,80.0,RU,1549163066.0,85.0,50.14,48.57,9.45,3.38
153,hithadhoo,20.0,MV,1549163067.0,99.0,-0.6,73.08,83.66,14.79
154,torbat-e jam,76.0,IR,1549163067.0,86.0,35.24,60.63,30.78,2.59
155,batemans bay,8.0,AU,1549163067.0,75.0,-35.71,150.18,82.26,7.18
156,te anau,12.0,NZ,1549163068.0,42.0,-45.41,167.72,68.76,8.3
157,chokurdakh,20.0,RU,1549163068.0,68.0,70.62,147.9,-35.55,2.82
158,kenai,90.0,US,1549158960.0,73.0,60.55,-151.26,17.06,11.41
159,iqaluit,90.0,CA,1549160280.0,77.0,63.75,-68.52,5.0,24.16
160,arraial do cabo,0.0,BR,1549163069.0,80.0,-22.97,-42.02,79.2,17.13
161,neiafu,40.0,TO,1549159200.0,70.0,-18.65,-173.98,84.2,6.93
162,brae,0.0,GB,1549162200.0,74.0,60.4,-1.35,33.8,11.41
163,pisco,75.0,PE,1549159200.0,88.0,-13.71,-76.2,75.2,14.99
164,qasigiannguit,56.0,GL,1549158600.0,38.0,68.82,-51.19,26.6,19.46
165,imbituba,40.0,BR,1549159200.0,94.0,-28.24,-48.67,71.6,3.36
166,norman wells,20.0,CA,1549159200.0,74.0,65.28,-126.83,-27.41,5.82
167,ilulissat,56.0,GL,1549158600.0,38.0,69.22,-51.1,26.6,19.46
168,bure,0.0,NG,1549163072.0,58.0,10.52,10.33,62.24,3.15
169,coquimbo,90.0,CL,1549159200.0,93.0,-29.95,-71.34,62.6,1.12
170,laguna,75.0,MX,1549158060.0,68.0,27.52,-110.01,66.2,2.24
171,jutai,88.0,BR,1549163073.0,96.0,-1.71,-47.89,75.33,2.93
172,mwinilunga,0.0,ZM,1549163073.0,97.0,-11.73,24.43,59.76,2.37
173,maumere,100.0,ID,1549163073.0,99.0,-8.63,122.22,81.68,11.65
174,vostok,88.0,RU,1549163074.0,60.0,46.45,135.83,20.7,2.82
175,ambilobe,92.0,MG,1549163074.0,98.0,-13.19,49.05,72.86,3.15
176,kodiak,90.0,US,1549161300.0,100.0,39.95,-94.76,50.0,10.29
177,nanortalik,76.0,GL,1549163076.0,100.0,60.14,-45.24,27.54,17.92
178,benghazi,20.0,LY,1549162853.0,90.0,32.12,20.07,65.93,26.98
179,the pas,90.0,CA,1549161900.0,69.0,53.82,-101.24,-13.01,6.93
180,zhanaozen,56.0,KZ,1549163077.0,88.0,43.35,52.85,25.11,3.49
181,loralai,0.0,PK,1549163077.0,67.0,30.37,68.6,21.83,2.26
182,ancud,0.0,CL,1549159200.0,43.0,-41.87,-73.83,73.4,11.41
183,sterling,1.0,US,1549162440.0,68.0,39.0,-77.4,32.0,6.93
184,beian,0.0,NO,1549158600.0,68.0,63.66,9.57,24.8,17.22
185,monrovia,75.0,LR,1549161000.0,94.0,6.33,-10.8,75.2,3.38
186,salamiyah,0.0,SY,1549163079.0,71.0,35.01,37.05,26.64,3.04
187,nouadhibou,32.0,MR,1549163079.0,87.0,20.93,-17.03,61.56,15.68
188,broken hill,8.0,AU,1549159200.0,16.0,-31.97,141.45,100.4,12.75
189,moron,12.0,VE,1549163080.0,94.0,10.49,-68.2,63.23,2.37
190,mayo,5.0,CA,1549159200.0,65.0,63.59,-135.9,-36.41,2.93
191,kanniyakumari,8.0,IN,1549162980.0,100.0,8.08,77.57,78.66,19.15
192,pilar,0.0,AR,1549159200.0,55.0,-34.46,-58.91,66.2,11.41
193,taltal,0.0,CL,1549163081.0,93.0,-25.41,-70.49,61.34,2.26
194,ileza,68.0,RU,1549163082.0,88.0,61.05,43.9,11.93,4.38
195,balsa,0.0,HU,1549161000.0,86.0,48.17,21.54,41.0,6.93
196,hamina,90.0,FI,1549162200.0,85.0,60.57,27.2,19.4,19.46
197,aksarka,8.0,RU,1549163083.0,0.0,66.56,67.8,-42.62,4.38
198,flinders,0.0,AU,1549159200.0,55.0,-34.58,150.85,87.8,12.75
199,rockhampton,40.0,AU,1549161000.0,58.0,-23.38,150.51,84.2,16.11
200,ketchikan,20.0,US,1549158780.0,37.0,55.34,-131.65,15.08,8.05
201,hasaki,20.0,JP,1549161000.0,53.0,35.73,140.83,53.6,3.36
202,gornopravdinsk,8.0,RU,1549163084.0,47.0,60.06,69.92,-28.8,4.27
203,barkhan,0.0,PK,1549162824.0,80.0,29.9,69.52,32.31,3.15
204,flin flon,80.0,CA,1549163085.0,67.0,54.77,-101.88,-15.35,6.17
205,jinchang,0.0,CN,1549163085.0,58.0,38.52,102.19,3.6,2.71
206,palmer,0.0,AU,1549161000.0,45.0,-34.85,139.16,84.2,16.11
207,cabo san lucas,75.0,MX,1549158480.0,77.0,22.89,-109.91,69.8,3.71
208,boende,64.0,CD,1549163086.0,88.0,-0.28,20.88,73.89,2.37
209,bambous virieux,20.0,MU,1549159200.0,94.0,-20.34,57.76,73.4,4.16
210,torbay,90.0,CA,1549159200.0,67.0,47.66,-52.73,17.6,14.99
211,majagual,44.0,CO,1549163087.0,60.0,8.54,-74.63,82.13,1.92
212,thinadhoo,56.0,MV,1549163087.0,98.0,0.53,72.93,83.52,13.89
213,talas,0.0,TR,1549162200.0,85.0,38.69,35.55,24.8,2.24
214,xuddur,0.0,SO,1549163088.0,67.0,4.12,43.89,66.83,13.78
215,masuguru,56.0,MZ,1549163089.0,97.0,-11.38,38.46,72.86,2.93
216,saskylakh,24.0,RU,1549163089.0,42.0,71.97,114.09,-26.6,8.52
217,hofn,0.0,IS,1549163089.0,100.0,64.25,-15.21,24.12,3.6
218,tagusao,56.0,PH,1549163090.0,83.0,9.19,117.81,81.14,6.73
219,manokwari,80.0,ID,1549163090.0,98.0,-0.87,134.08,82.49,11.88
220,marsh harbour,92.0,BS,1549163090.0,100.0,26.54,-77.06,69.53,26.08
221,vila franca do campo,75.0,PT,1549161000.0,82.0,37.72,-25.43,60.8,12.75
222,shilka,0.0,RU,1549163091.0,44.0,51.85,116.03,-15.93,8.75
223,lebrija,0.0,ES,1549161000.0,80.0,36.92,-6.08,46.4,5.82
224,kalmunai,88.0,LK,1549163092.0,100.0,7.42,81.82,73.98,4.38
225,calvia,20.0,ES,1549161000.0,66.0,39.57,2.51,48.2,9.17
226,cockburn town,32.0,TC,1549163092.0,100.0,21.46,-71.14,77.85,19.82
227,kahului,90.0,US,1549159140.0,93.0,20.89,-156.47,73.04,14.99
228,alindao,36.0,CF,1549163093.0,87.0,5.04,21.21,69.48,5.95
229,ust-kut,24.0,RU,1549163093.0,36.0,56.78,105.75,-24.93,3.38
230,mahebourg,20.0,MU,1549159200.0,94.0,-20.41,57.7,73.4,4.16
231,chapais,1.0,CA,1549159200.0,76.0,49.78,-74.86,-11.21,5.82
232,teguise,0.0,ES,1549161000.0,59.0,29.06,-13.56,60.8,20.8
233,clyde river,90.0,CA,1549161000.0,83.0,70.47,-68.59,-7.61,27.51
234,eydhafushi,0.0,MV,1549163095.0,100.0,5.1,73.07,81.36,11.65
235,requena,20.0,ES,1549161000.0,36.0,39.49,-1.1,46.4,18.34
236,borovskoy,92.0,KZ,1549163095.0,82.0,53.8,64.15,8.1,6.73
237,djougou,12.0,BJ,1549163096.0,90.0,9.71,1.67,72.36,3.15
238,morrisburg,20.0,CA,1549162380.0,91.0,44.9,-75.18,24.8,4.7
239,praia,0.0,BR,1549159200.0,47.0,-20.25,-43.81,78.8,8.05
240,sorland,36.0,NO,1549163097.0,100.0,67.67,12.69,31.5,19.37
241,khowai,0.0,IN,1549161000.0,77.0,24.08,91.6,60.8,2.93
242,diphu,0.0,IN,1549163098.0,66.0,25.84,93.44,66.29,2.71
243,santa maria da boa vista,44.0,BR,1549163098.0,62.0,-8.8,-39.83,78.93,6.4
244,college,1.0,US,1549159080.0,78.0,64.86,-147.8,3.92,6.73
245,tongren,68.0,CN,1549163099.0,89.0,27.72,109.18,51.75,10.54
246,longyearbyen,20.0,NO,1549158600.0,63.0,78.22,15.63,28.4,9.17
247,lahat,68.0,ID,1549163099.0,99.0,-3.78,103.55,77.67,4.16
248,arman,36.0,RU,1549163100.0,55.0,59.7,150.17,2.07,14.45
249,santa maria,75.0,BR,1549159200.0,88.0,-29.69,-53.81,71.6,4.7
250,ternate,40.0,PH,1549159200.0,74.0,14.29,120.72,78.8,4.7
251,sakaraha,0.0,MG,1549163102.0,90.0,-22.91,44.53,62.28,2.59
252,gamba,0.0,CN,1549163102.0,58.0,28.28,88.52,-7.02,2.15
253,vanavara,8.0,RU,1549163102.0,0.0,60.35,102.28,-44.55,2.59
254,acapulco,5.0,MX,1549158480.0,74.0,16.86,-99.88,78.8,6.93
255,cayenne,90.0,GF,1549161000.0,94.0,4.94,-52.33,77.0,8.97
256,yablonovo,90.0,RU,1549161000.0,98.0,50.85,37.36,32.0,4.47
257,ekibastuz,80.0,KZ,1549163104.0,73.0,51.72,75.32,0.68,5.73
258,el torno,64.0,BO,1549159200.0,100.0,-17.99,-63.38,71.6,5.82
259,bosaso,8.0,SO,1549163105.0,100.0,11.28,49.18,73.04,5.95
260,grand gaube,20.0,MU,1549159200.0,94.0,-20.01,57.66,73.4,9.75
261,dingle,24.0,PH,1549163105.0,68.0,11.0,122.67,80.91,15.01
262,mandurah,0.0,AU,1549161000.0,35.0,-32.55,115.7,71.6,16.11
263,ostrovnoy,56.0,RU,1549163106.0,93.0,68.05,39.51,3.24,6.73
264,yokadouma,56.0,CM,1549163106.0,85.0,3.52,15.05,71.37,4.38
265,vanimo,36.0,PG,1549163107.0,99.0,-2.67,141.3,83.66,14.23
266,altay,68.0,CN,1549163107.0,83.0,47.83,88.13,-6.57,1.59
267,tautira,75.0,PF,1549159200.0,70.0,-17.73,-149.15,86.0,12.75
268,arinos,0.0,BR,1549163108.0,52.0,-15.92,-46.11,74.43,4.38
269,tapes,44.0,BR,1549163108.0,90.0,-30.67,-51.4,70.11,12.66
270,rutland,90.0,US,1549162380.0,65.0,43.61,-72.97,30.02,3.36
271,porbandar,0.0,IN,1549161000.0,37.0,21.64,69.61,66.2,9.17
272,worland,1.0,US,1549161300.0,65.0,44.02,-107.96,37.76,7.63
